Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
Lenovo,174650.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.0,512
HP,244996.5,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,1024
Acer,129465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
Lenovo,118650.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
HP,213465.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.0,512
Lenovo,143465.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Other,110215.0,Intel,Yes,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,256
Lenovo,283465.0,Intel,Yes,16,LP5,LED,Intel,0,Intel Ultra 5,Small,Low-end,4.0,1024
Lenovo,178465.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,202965.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Large,Mid-end,2.5,512
HP,89071.5,Intel,No,8,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
HP,129465.0,AMD,No,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
Acer,171465.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,2.0,512
ASUS,167965.0,Intel,No,16,4,LED,Intel,1024,Intel I5,Small,Low-end,2.5,256
Acer,101465.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,256
HP,94465.0,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
Dell,137375.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
HP,97562.5,Intel,No,8,4,LED,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
ASUS,87496.5,Intel,Yes,4,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,128
MSI,199465.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,179060.0,Intel,Yes,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Acer,123196.5,Intel,No,8,LP5,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
Acer,115465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.5,512
Acer,83996.5,Intel,Yes,4,4,LED,Intel,0,Intel Pentium,Small,Entry-level,2.5,256
ASUS,227465.0,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,255465.0,AMD,Yes,16,4,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,512
ASUS,594965.0,Intel,No,32,LP5,LED,Intel,0,Intel I9,Small,Low-end,2.5,1024
HP,174996.5,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,512
HP,192465.0,Intel,Yes,16,4,LED,Intel,0,Intel I5,Small,Low-end,4.0,512
ASUS,339465.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,4.5,1024
ASUS,129496.5,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Dell,313250.0,AMD,No,16,5,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
Samsung,255465.0,Intel,No,16,LP5,LED,Intel,0,Intel I5,Small,Low-end,4.0,512
Lenovo,122465.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,256
Acer,454965.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I9,Small,Mid-end,5.0,1024
MSI,230996.5,Intel,No,8,4,LED,NVIDIA,1024,Intel I7,Small,Mid-end,2.5,256
Dell,269150.0,Intel,Yes,8,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
ASUS,178465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,496965.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,512
ASUS,209996.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,3.5,256
ASUS,115465.0,Intel,Yes,8,4,LED,Intel,0,Intel I3,Small,Entry-level,1.0,512
Other,174965.0,Intel,No,16,LP5,LCD,Intel,0,Intel I7,Small,Low-end,5.0,512
Lenovo,187372.5,Intel,No,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
HP,132965.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
HP,101465.0,Intel,No,8,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
ASUS,146965.0,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Low-end,2.5,512
Acer,194250.0,Intel,Yes,16,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
ASUS,209300.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.5,512
Dell,148396.5,Intel,No,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,2.0,256
Lenovo,199496.5,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,512
Acer,110215.0,Intel,No,8,LP5,LCD,Intel,0,Intel I3,Small,Entry-level,2.0,256
